Date,Open*,High,Low,Close**,Volume,Market Cap
5/29/2022,$0.03,$0.03,$0.03,$0.03,"$8,208,340","$292,095,289"
5/28/2022,$0.03,$0.03,$0.03,$0.03,"$7,451,555","$281,219,782"
5/27/2022,$0.03,$0.03,$0.03,$0.03,"$10,626,407","$272,201,485"
5/26/2022,$0.03,$0.03,$0.03,$0.03,"$13,347,652","$284,645,499"
5/25/2022,$0.03,$0.03,$0.03,$0.03,"$10,090,172","$306,044,289"
5/24/2022,$0.03,$0.03,$0.03,$0.03,"$11,826,362","$311,359,057"
5/23/2022,$0.03,$0.03,$0.03,$0.03,"$16,833,360","$301,465,274"
5/22/2022,$0.03,$0.03,$0.03,$0.03,"$13,492,016","$322,598,768"
5/21/2022,$0.03,$0.03,$0.03,$0.03,"$12,674,267","$314,595,487"
5/20/2022,$0.03,$0.03,$0.03,$0.03,"$14,695,128","$308,151,768"
5/19/2022,$0.03,$0.03,$0.03,$0.03,"$17,558,188","$322,398,380"
5/18/2022,$0.03,$0.03,$0.03,$0.03,"$15,493,441","$297,465,054"
5/17/2022,$0.03,$0.03,$0.03,$0.03,"$19,193,223","$331,214,569"
5/16/2022,$0.03,$0.03,$0.03,$0.03,"$41,147,957","$310,355,677"
5/15/2022,$0.03,$0.03,$0.03,$0.03,"$21,586,887","$339,670,652"
5/14/2022,$0.03,$0.03,$0.03,$0.03,"$26,766,470","$327,533,529"
5/13/2022,$0.03,$0.03,$0.03,$0.03,"$34,831,091","$288,276,326"
5/12/2022,$0.02,$0.03,$0.02,$0.03,"$44,930,106","$265,033,092"
5/11/2022,$0.03,$0.03,$0.02,$0.02,"$49,674,204","$257,190,993"
5/10/2022,$0.03,$0.04,$0.03,$0.03,"$41,433,437","$355,156,267"
5/9/2022,$0.04,$0.04,$0.03,$0.03,"$30,516,139","$340,428,196"
5/8/2022,$0.04,$0.04,$0.04,$0.04,"$18,340,882","$412,948,176"
5/7/2022,$0.04,$0.04,$0.04,$0.04,"$15,409,489","$425,393,504"
5/6/2022,$0.04,$0.04,$0.04,$0.04,"$20,748,723","$448,128,852"
5/5/2022,$0.05,$0.05,$0.04,$0.04,"$30,180,361","$448,587,103"
5/4/2022,$0.04,$0.05,$0.04,$0.05,"$26,762,018","$506,673,022"
5/3/2022,$0.04,$0.04,$0.04,$0.04,"$21,515,661","$449,233,504"
5/2/2022,$0.04,$0.04,$0.04,$0.04,"$20,632,502","$455,221,611"
5/1/2022,$0.04,$0.04,$0.04,$0.04,"$24,268,406","$458,887,094"
4/30/2022,$0.05,$0.05,$0.04,$0.04,"$24,809,608","$440,314,348"
4/29/2022,$0.05,$0.05,$0.05,$0.05,"$19,779,861","$485,815,067"
4/28/2022,$0.05,$0.05,$0.05,$0.05,"$17,625,656","$509,668,370"
4/27/2022,$0.05,$0.05,$0.05,$0.05,"$16,970,616","$515,632,145"
4/26/2022,$0.05,$0.05,$0.05,$0.05,"$21,290,437","$500,335,717"
4/25/2022,$0.05,$0.05,$0.05,$0.05,"$24,124,241","$541,331,327"
4/24/2022,$0.05,$0.05,$0.05,$0.05,"$15,187,300","$533,755,503"
4/23/2022,$0.05,$0.05,$0.05,$0.05,"$15,269,592","$546,953,003"
4/22/2022,$0.05,$0.05,$0.05,$0.05,"$20,076,957","$561,552,683"
4/21/2022,$0.06,$0.06,$0.05,$0.05,"$25,947,813","$556,089,142"
4/20/2022,$0.06,$0.06,$0.05,$0.06,"$19,224,704","$579,939,495"
4/19/2022,$0.06,$0.06,$0.05,$0.06,"$16,699,926","$594,280,509"
4/18/2022,$0.05,$0.06,$0.05,$0.06,"$27,169,720","$578,078,760"
4/17/2022,$0.06,$0.06,$0.05,$0.05,"$17,340,617","$552,914,136"
4/16/2022,$0.06,$0.06,$0.05,$0.06,"$13,455,689","$584,474,105"
4/15/2022,$0.05,$0.06,$0.05,$0.06,"$16,420,872","$580,990,087"
4/14/2022,$0.06,$0.06,$0.05,$0.05,"$19,763,428","$569,560,043"
4/13/2022,$0.05,$0.06,$0.05,$0.06,"$19,743,380","$594,325,722"
4/12/2022,$0.05,$0.06,$0.05,$0.05,"$26,263,667","$573,726,896"
4/11/2022,$0.06,$0.06,$0.05,$0.05,"$34,271,853","$549,185,409"
4/10/2022,$0.06,$0.06,$0.06,$0.06,"$21,483,460","$605,050,991"
4/9/2022,$0.06,$0.06,$0.06,$0.06,"$24,305,370","$632,007,591"
4/8/2022,$0.06,$0.06,$0.06,$0.06,"$26,363,206","$602,968,817"
4/7/2022,$0.06,$0.06,$0.06,$0.06,"$28,461,594","$651,407,251"
4/6/2022,$0.07,$0.07,$0.06,$0.06,"$51,082,549","$621,393,085"
4/5/2022,$0.07,$0.07,$0.07,$0.07,"$33,474,637","$710,364,332"
4/4/2022,$0.07,$0.07,$0.07,$0.07,"$38,598,644","$730,362,301"
